id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
3617,ILCOIN,ILC,16,2018-11-26 0:00:00,2.50E+09,820538385.3,1774234805,1064,0.004646809,3579.893578,-40.8625,6.58933126,-17.31120492,16.62088878,56.90637351,25.58730146,22.36728422,3812885.431,0,11617023.35,Yes,Yes,No
7976,Venus DOT,vDOT,1,2020-12-14 0:00:00,-1.00E+05,16649243,16649243,1065,0.228871444,0,0,-2.33639655,-1.07859642,-8.82457314,-40.74045596,-41.13897523,-43.11624746,3810536.288,0,3810536.29,No,No,No
6718,Growth DeFi,GRO,8,2020-08-26 0:00:00,580000,433377.2793,578594.2458,1066,8.776336351,75838.96367,65.4245,2.57635166,12.15030921,-21.70227396,-24.09544975,-10.33832032,-47.05780051,3803464.77,0,5090275.08,No,No,No
2001,ColossusXT,COLX,6,2017-09-29 0:00:00,-1.00E+05,12732356945,13709440363,1067,0.000297471,14.62577973,-5.3093,-1.16064802,120.8830797,-9.56803872,177.9403946,-27.37552368,179.7777865,3787503.554,0,4078157.27,No,No,No
17010,STEP,STEP,5,2022-01-08 2:10:08,1.00E+09,406756986,981505922,1068,0.009270132,515572.7034,-3.9881,-5.85417536,-9.11118917,-19.97496464,-19.4133923,714.9170163,151.1314857,3770690.855,0,9270131.76,No,No,No
8320,PolkaBridge,PBR,16,2021-01-25 0:00:00,-1.00E+05,47824710.96,77824710.96,1069,0.078771232,560917.0681,19.6565,-0.79280663,3.75196386,-38.69489194,-68.68398955,-68.15787657,-80.17926635,3767211.385,0,6130348.33,No,Yes,No
14534,ParaSwap,PSP,25,2021-11-15 13:27:12,2.00E+09,72891000,2.00E+09,1070,0.05161232,149080.8563,-51.9142,-0.18016804,-1.93590077,-16.85666947,-43.79364295,-42.78686105,-66.73691345,3762073.59,0,103224639.3,No,No,No
9245,Signata,SATA,10,2021-04-15 0:00:00,1.00E+08,44260434.61,1.00E+08,1071,0.083838423,5109.434403,-39.1149,-0.6523359,0.8117643,-16.28673744,-52.36466716,-59.65053889,-83.52741808,3710725.05,0,8383842.32,No,No,No
5522,SENSO,SENSO,16,2020-05-04 0:00:00,715280000,12241344,5915280000,1072,0.302809213,1485872.545,-8.6189,-1.05276672,-0.41177752,-25.31078262,-53.07156409,-50.905052,-65.2748392,3706791.74,0,216593373.7,No,No,No
2874,Aurora,AOA,7,2018-06-26 0:00:00,-1.00E+05,9975060788,1.00E+10,1073,0.000367618,674246.7988,-34.7693,-1.48602228,-26.90670764,-22.05518661,-48.26475853,-59.52569939,-67.76328746,3667009.516,3.00E-04,3676177.61,No,No,No
7312,Florin,XFL,4,2020-10-06 0:00:00,210000,136914,136913.6543,1074,26.77213897,1646.244727,92.2518,-1.16065327,-4.27397297,-26.01084086,-68.15500416,-80.94417654,-78.50864993,3665480.635,0,5622149.18,No,No,No
12859,DogeBonk,DOBO,3,2021-10-19 0:31:36,1.00E+15,5.83E+14,5.83E+14,1075,6.29E-09,16781.92767,-40.8726,-1.58800908,-0.42330364,-52.02427402,-81.55702231,-82.96109573,-87.72087325,3665113.487,0,6287078.23,No,No,No
2337,Lamden,TAU,4,2018-01-04 0:00:00,288090567,142215728.2,248090567,1076,0.025754478,101762.5478,94.2548,1.37856074,12.50650247,-9.76075372,-33.7522145,-39.85336915,-60.94086593,3662691.842,3.00E-04,7419622.17,No,No,No
7952,Venus SXP,vSXP,1,2020-12-11 0:00:00,-1.00E+05,396674884,396674884,1077,0.009199283,0,0,-1.71542327,-7.35654591,-42.38669961,-63.74725909,-67.30333774,-68.38476044,3649124.347,0,3649124.35,No,No,No
